game,round,turn,seat,player,secs,plays,dead,fromHand,fromGoal,fromPort,fromBrig,draws,hold1,hold2,hold3,hold4,emptyRuns,brigKings,endedBy
gmrve2zsob29s,1,1,1,Player 1,139,8,0,4,3,0,1,0,7,10,,,0,0,handoff
gmrve2zsob29s,1,2,2,Player 2,166,2,0,2,0,0,0,0,7,10,,,0,0,handoff
gmrve2zsob29s,1,3,1,Player 1,31,2,0,1,1,0,0,0,6,10,,,0,0,handoff
gmrve2zsob29s,1,4,2,Player 2,34,3,0,2,1,0,0,0,6,9,,,0,0,handoff
gmrve2zsob29s,1,5,1,Player 1,52,2,0,2,0,0,0,0,6,9,,,0,0,handoff
gmrve2zsob29s,1,6,2,Player 2,22,1,0,1,0,0,0,0,6,9,,,0,0,handoff
gmrve2zsob29s,1,7,1,Player 1,775,2,0,2,0,0,0,0,6,9,,,0,0,handoff
gmrve2zsob29s,1,8,2,Player 2,29,2,0,1,1,0,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,9,1,Player 1,89,1,0,1,0,0,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,10,2,Player 2,146,1,0,0,0,1,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,11,1,Player 1,26,1,0,1,0,0,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,12,2,Player 2,67,4,0,1,0,3,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,13,1,Player 1,84,1,0,1,0,0,0,0,6,8,,,0,0,handoff
gmrve2zsob29s,1,14,2,Player 2,35,7,0,4,2,1,0,0,6,6,,,0,0,handoff
gmrve2zsob29s,1,15,1,Player 1,143,13,0,4,5,4,0,0,1,6,,,1,3,handoff
gmrve2zsob29s,1,16,2,Player 2,175,6,0,2,3,1,0,0,1,3,,,0,5,handoff
gmrve2zsob29s,1,17,1,Player 1,16,3,0,1,1,1,0,0,0,3,,,0,5,round-end
gmrve2zsob29s,2,1,2,Player 2,39,0,1,0,0,0,0,0,10,10,,,3,1,handoff
gmrve2zsob29s,2,2,1,Player 1,11,0,1,0,0,0,0,0,10,10,,,3,1,handoff
gmrve2zsob29s,2,3,2,Player 2,78,1,0,1,0,0,0,0,10,10,,,2,1,handoff
gmrve2zsob29s,2,4,1,Player 1,189,1,0,1,0,0,0,0,10,10,,,2,1,handoff
gmrve2zsob29s,2,5,2,Player 2,54,6,0,2,2,1,1,0,10,8,,,0,0,handoff
gmrve2zsob29s,2,6,1,Player 1,73,1,0,1,0,0,0,0,10,8,,,0,0,handoff
gmrve2zsob29s,2,7,2,Player 2,182,2,0,2,0,0,0,0,10,8,,,0,0,handoff
